analysis_id,analysis_name,model_id,hypothesis_or_objective,outcome,exposure_key_predictor,analysis_population,n,estimator,risk_set,manuscript_source,has_thesis_figure,current_supplement_pseudocode,group,assignment_reason,data_source_sheets,derives_panel_structure_in_notebook
A01,Cohort accrual and follow-up,none,Objective 1 (descriptive),registrants; reporters; person-weeks; at-risk weeks; symptomatic weeks; incident episodes,none (enumeration),Full registry and reporting cohort,"304 registered; 248 reporters; 4,729 person-weeks",Counts and proportions,All filed person-weeks,Table 3.1; Section 3.1.1,yes (Fig 3.1.1 flow),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A02,Weekly participation series and plateau,none,Objective 1 (descriptive),active weekly reporters per ISO week,ISO week,33 ISO weeks,33 weeks; 44 to 177 reporters,Weekly counts; median of plateau weeks; post-peak linear slope,Weekly aggregate,"Section 3.1.1, 3.1.2, 3.1.3","yes (Fig 3.1.2, 3.1.3a)",absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A03,Reporting-frequency distribution and grid fill,none,Objective 1 (descriptive),weeks reported per physician; realised grid fill,none,Reporting cohort,"248 physicians; 4,729 of 8,184 reporter-weeks","Frequency distribution; median, mean, range; fill proportions",248x33 reporter grid; 304x33 registry grid,Table 3.3; Section 3.1.3,"yes (Fig 3.1.3b, 3.1.4)",absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A04,Reporting persistence and engagement strata membership,none,Objective 1 (descriptive),engagement stratum membership,weeks reported,Reporting cohort,105 high / 106 moderate / 37 low,Cut-point classification and counts,Physician level,Section 3.1.4; Table 3.24,yes (Fig 3.1.3c),S3.16 (partial),S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A05,Geographic distribution of the reporting cohort,none,Objective 1 (descriptive),province of practice,none,Reporting cohort,248 physicians; 46 of 81 provinces,Counts and proportions with small-cell pooling,Physician level,Table 3.2; Section 3.1.2,no,absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A06,Baseline numeric variables of the reporting cohort,none,Objective 1 (descriptive),age; household size; school-age children,none,Reporting cohort,248 physicians,"Medians, IQRs, ranges; Shapiro-Wilk normality test",Physician level,Table 3.4; Section 3.2,no,absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A07,Demographic and professional characteristics,none,Objective 1 (descriptive),sex; institution type; job title; face-to-face role,none,Reporting cohort,248 physicians,Counts and proportions over valid responses,Physician level,Table 3.5; Section 3.2,yes (Fig 3.2.1),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A08,"Household, exposure and behavioural characteristics",none,Objective 1 (descriptive),household risk member; out-of-household contact; public transport; tobacco; physical activity,none,Reporting cohort,"248 physicians (item-specific denominators 205, 245, 246)",Counts and proportions with item-specific denominators,Physician level,Table 3.6; Section 3.2,yes (Fig 3.2.1),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A09,"Clinical, vaccination and ILI-history characteristics",none,Objective 1 (descriptive),comorbidity; allergy; susceptibility; prior care-seeking; vaccination,none,Reporting cohort,248 physicians,Counts and proportions; four-level collapse of the susceptibility item,Physician level,Table 3.7; Section 3.2,yes (Fig 3.2.1),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A10,Occupational characteristics of patient-facing physicians,none,Objective 1 (descriptive),unit; patient group; aerosol share; mask use; patients per day; on-call shifts,none,Patient-facing subgroup,112 physicians (110 with patient volume),"Counts, proportions, medians and IQRs",Physician level,Table 3.8; Section 3.2,no,absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A11,"Episode burden, cumulative incidence and recurrence",none,Objective 1 (descriptive),any episode; episode count per physician,none,Reporting cohort,248 physicians; 497 episodes,Cumulative incidence (attack rate); recurrence proportion; maximum count,Physician level,Section 3.3; Table 3.9,yes (Fig 3.3.1),absent,S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
A12,Agent-cluster distribution of incident episodes,none,Objective 1 (descriptive); feeds H1 and H6,suspected aetiology cluster,none,Incident episodes,497 episodes,Counts and proportions across four clusters,Episode level,Table 3.9; Section 3.3,yes (Fig 3.3.1),absent,S3.1,,03_Episodes; 02_PersonWeeks,no
A13,Clinical course of influenza-like (A-cluster) episodes,none,Objective 1 (descriptive),routine impact; medication; duration; source; testing,none,A-cluster episodes,91 episodes,Counts and proportions; median and IQR of duration,Episode level (first symptomatic week),Table 3.10; Section 3.3,no,absent,S3.1,,03_Episodes; 02_PersonWeeks,no
A14,Attributed source of infection by clinical role,none,Objective 1 (descriptive),source flags per episode,face-to-face role,A-cluster episodes with source flags,91 episodes carrying 101 flags,Multi-response counts; flags per 100 episodes by role,Episode level,Section 3.2 (P0630),yes (Fig 3.2.2),absent,S3.1,,03_Episodes; 02_PersonWeeks,no
A15,Season incidence rate per 100 at-risk person-weeks,none,Objective 1; context for H2-H4,incident episode,none,Reporting cohort person-weeks,"497 episodes / 4,626 at-risk person-weeks",Crude rate per 100 at-risk person-weeks,At-risk person-weeks,"Section 3.1.1, 3.7.2",no,S3.16 (as stratum baseline),S3.1,,01_Physicians; 02_PersonWeeks; 03_Episodes; 04_WeeklySystem,no
