spec_id,measured_quantity,smoothing,baseline_weeks,sd_threshold,consensus_rule,n_part_alarms,n_sent_alarms,kappa — full season (33 weeks),kappa — early-warning window (19 weeks),is_specification_of_record
1,A-cluster positivity (%),raw,5,2.0,>=1,5,7,0.39264,0.48649,False
2,A-cluster positivity (%),raw,5,2.0,>=2,3,6,0.11494,0.21488,False
3,A-cluster positivity (%),raw,5,3.0,>=1,5,7,0.39264,0.48649,False
4,A-cluster positivity (%),raw,5,3.0,>=2,2,5,0.21801,0.26923,False
5,A-cluster positivity (%),raw,7,2.0,>=1,6,7,0.52174,0.62745,False
6,A-cluster positivity (%),raw,7,2.0,>=2,4,6,0.29787,0.40625,False
7,A-cluster positivity (%),raw,7,3.0,>=1,6,7,0.52174,0.62745,False
8,A-cluster positivity (%),raw,7,3.0,>=2,2,4,0.27473,0.34483,False
9,A-cluster positivity (%),causal MA-3,5,2.0,>=1,9,8,0.76259,0.78409,False
10,A-cluster positivity (%),causal MA-3,5,2.0,>=2,7,7,0.63736,0.65031,False
11,A-cluster positivity (%),causal MA-3,5,3.0,>=1,8,8,0.835,0.89017,False
12,A-cluster positivity (%),causal MA-3,5,3.0,>=2,5,6,0.45545,0.46479,False
13,A-cluster positivity (%),causal MA-3,7,2.0,>=1,8,8,0.835,0.89017,False
14,A-cluster positivity (%),causal MA-3,7,2.0,>=2,7,7,0.63736,0.65031,False
15,A-cluster positivity (%),causal MA-3,7,3.0,>=1,8,8,0.835,0.89017,True
16,A-cluster positivity (%),causal MA-3,7,3.0,>=2,6,4,0.53191,0.56489,False
17,A-cluster positivity (%),symmetric MA-3,5,2.0,>=1,10,8,0.69585,0.78409,False
18,A-cluster positivity (%),symmetric MA-3,5,2.0,>=2,8,7,0.56919,0.65031,False
19,A-cluster positivity (%),symmetric MA-3,5,3.0,>=1,9,8,0.76259,0.89017,False
20,A-cluster positivity (%),symmetric MA-3,5,3.0,>=2,6,6,0.38889,0.46479,False
