analysis,code,pseudocode
"(unlabelled block, table 7)","import numpy as np, pandas as pd
from scipy import stats
import statsmodels.api as sm, statsmodels.formula.api as smf
from statsmodels.miscmodels.ordinal_model import OrderedModel
from statsmodels.stats.proportion import proportion_confint
from sklearn.metrics import roc_auc_score, cohen_kappa_score
from lifelines import CoxTimeVaryingFitter

# Collector for the quantities each block reproduces; the verification table is built
# from it. Every block calls record(...) at the end.
REPRODUCED = {}
def record(analysis_id, **values):
    REPRODUCED.setdefault(analysis_id, {}).update(values)

DATA = ""SALGINTR_Unified_Dataset_20260809.xlsx""   # same folder as this notebook

phys      = pd.read_excel(DATA, sheet_name=""01_Physicians"")        # 304 x 64
personwk  = pd.read_excel(DATA, sheet_name=""02_PersonWeeks"")       # 4,729 x 117
episodes  = pd.read_excel(DATA, sheet_name=""03_Episodes"")          # 497 x 27
weeklysys = pd.read_excel(DATA, sheet_name=""04_WeeklySystem"")      # 33 x 26
recoded   = pd.read_excel(DATA, sheet_name=""05_RecodedIndividual"") # 248 x 29

# --- panel structure derived from 02_PersonWeeks, not from any external file
pw = personwk.sort_values([""participant_id"", ""week_idx""]).reset_index(drop=True)
pw[""gap_before_derived""] = (
    pw.groupby(""participant_id"")[""week_idx""].diff().gt(1).fillna(False).astype(int))
pw[""obs_seq_derived""] = pw.groupby(""participant_id"")[""week_idx""].rank(method=""first"").astype(int)
pw[""episode_id_filled""] = pw.groupby(""participant_id"")[""episode_id""].ffill()
pw[""is_first_week""] = pw.groupby(""participant_id"")[""week_idx""].transform(""min"").eq(pw.week_idx)

# --- weekly two-system series, at-risk denominator for incidence
wk = weeklysys.sort_values(""week_idx"").reset_index(drop=True)
wk[""ili_rate_per1000_at_risk""] = 1000 * wk.n_new_episodes / wk.pw_at_risk_new
wk[""A_rate_per1000_at_risk""]   = 1000 * wk.n_new_A        / wk.pw_at_risk_new
part_share = 100 * wk.n_new_A / wk.n_new_episodes          # participatory positivity, %
sent_share = wk.sb_positivity_pct                          # sentinel positivity, %
WEEKS = wk.week.values
N_WEEKS = len(wk)

# --- ISO calendar and epidemic-phase windows
_iso = wk.week.str.extract(r""(\d{4})-W(\d+)"").astype(int)
ISO_YEAR, ISO_WEEK = _iso[0], _iso[1]
PRE   = ((ISO_YEAR == 2025) & ISO_WEEK.between(40, 49)).values
EPI   = (((ISO_YEAR == 2025) & (ISO_WEEK >= 50)) | ((ISO_YEAR == 2026) & (ISO_WEEK <= 6))).values
POST  = ((ISO_YEAR == 2026) & ISO_WEEK.between(7, 20)).values
EARLY = (PRE | EPI)                       # pre-specified early-warning window, 19 weeks
SEASON = np.ones(N_WEEKS, bool)

# --- MEM thresholds: fixed a-priori inputs from ten historical sentinel seasons
# that this data release does not carry. They are not derived here.
MEM_ONSET = 10.59                                  # % combined positivity
MEM_INTENSITY = (22.04, 42.56, 60.92, 71.38)       # % medium/high/very high/extraordinary

# --- shared helpers
def cma3(s):
    """"""Causal three-week moving average, weeks t-2 to t, partial windows retained.""""""
    return pd.Series(s).rolling(3, min_periods=1).mean()

def exact_ci(k, n):
    return proportion_confint(k, n, method=""beta"")

def smd(a, b, binary):
    a, b = pd.Series(a).dropna(), pd.Series(b).dropna()
    if binary:
        p1, p2 = a.mean(), b.mean()
        sd = np.sqrt((p1 * (1 - p1) + p2 * (1 - p2)) / 2)
        return (p1 - p2) / sd if sd > 0 else 0.0
    sd = np.sqrt((a.var(ddof=1) + b.var(ddof=1)) / 2)
    return (a.mean() - b.mean()) / sd

def efron_optimism(formula, data, ycol, B=1000, seed=20260707):
    """"""Efron bootstrap optimism correction for the AUC. The model is refitted in
    every replicate; optimism is the mean of (bootstrap AUC - original-sample AUC).""""""
    rng = np.random.default_rng(seed)
    apparent = roc_auc_score(data[ycol], smf.logit(formula, data=data).fit(disp=0).predict(data))
    diffs, n = [], len(data)
    for _ in range(B):
        db = data.iloc[rng.integers(0, n, n)]
        if db[ycol].nunique() < 2:
            continue
        try:
            fb = smf.logit(formula, data=db).fit(disp=0)
        except Exception:
            continue
        diffs.append(roc_auc_score(db[ycol], fb.predict(db))
                     - roc_auc_score(data[ycol], fb.predict(data)))
    optimism = float(np.mean(diffs))
    return apparent, optimism, apparent - optimism, len(diffs)

print(f""registry {phys.shape}  panel {pw.shape}  episodes {episodes.shape} ""
      f"" weekly {wk.shape}  recoded {recoded.shape}"")
print(f""phase weeks: pre-epidemic {PRE.sum()}, epidemic {EPI.sum()}, post-epidemic {POST.sum()}, ""
      f""early-warning window {EARLY.sum()}"")
record(""A00"", n_rows_panel=len(pw), n_weeks=N_WEEKS)","1. Name the workbook. DATA is the only line to change when a later dated release supersedes this one; the workbook must sit in the same folder as this notebook.
2. Read the five analysis sheets: the physician registry, the person-week panel, the cleaned episode file, the weekly two-system file and the recoded individual-level file.
3. Sort the person-week panel by physician and week index, then derive the panel structure the notebook needs and the workbook does not carry as columns: an indicator for a gap immediately before each filed week, the sequence number of each filed week within a physician's own record, and a forward-filled episode identifier that carries an episode label across its continuation week.
4. Build the weekly two-system series. Weekly incidence is computed on the at-risk denominator throughout; the stored rate columns follow the filed person-week denominator and are not read.
5. Fix the ISO week calendar and the epidemic-phase windows, and hard-code the Moving Epidemic Method thresholds, which are a-priori inputs estimated from ten historical sentinel seasons that this release does not carry.
6. Define the shared helpers: causal three-week moving average, exact binomial interval, standardized mean difference, and the Efron bootstrap optimism correction that refits the model inside every replicate. A small collector holds the quantity each block reproduces, so the verification table can be assembled from the notebook's own run."
"(unlabelled block, table 8)","suppressMessages({library(survival); library(MASS); library(nnet); library(lme4)
                  library(geepack); library(pROC)})
options(width = 200, stringsAsFactors = FALSE)

DATA <- ""SALGINTR_Unified_Dataset_20260809.xlsx""

phys     <- as.data.frame(readxl::read_excel(DATA, sheet = ""01_Physicians""))
pw       <- as.data.frame(readxl::read_excel(DATA, sheet = ""02_PersonWeeks""))
episodes <- as.data.frame(readxl::read_excel(DATA, sheet = ""03_Episodes""))
wsys     <- as.data.frame(readxl::read_excel(DATA, sheet = ""04_WeeklySystem""))

pw <- pw[order(pw$participant_id, pw$week_idx), ]
pw$first_obs  <- unlist(lapply(split(pw$week_idx, pw$participant_id),
                               function(w) as.integer(seq_along(w) == 1)))
pw$prev_wk    <- ave(pw$week_idx,    pw$participant_id, FUN = function(w) c(NA, head(w, -1)))
pw$prev_sym   <- ave(pw$symptomatic, pw$participant_id, FUN = function(w) c(NA, head(w, -1)))
pw$gap_len    <- pw$week_idx - pw$prev_wk - 1
pw$ev_prior   <- ave(pw$event, pw$participant_id, FUN = function(x) cumsum(c(0, head(x, -1))))
pw$ever_vax   <- as.integer(!is.na(pw$vax_week_idx))
LASTWK        <- max(pw$week_idx)

cat(""registered physicians                 :"", nrow(phys), ""\n"")
cat(""reporting physicians (>=1 weekly form):"", sum(phys$cohort_248_reporter == 1), ""\n"")
cat(""never-reporters                       :"", sum(phys$cohort_248_reporter == 0), ""\n"")
cat(""filed person-weeks                    :"", nrow(pw), ""\n"")
cat(""physicians in the panel               :"", length(unique(pw$participant_id)), ""\n"")
cat(""at-risk person-weeks                  :"", sum(pw$at_risk_new_episode), ""\n"")
cat(""symptomatic person-weeks              :"", sum(pw$symptomatic), ""\n"")
cat(""continuation weeks (sympt, not onset) :"", sum(pw$symptomatic == 1 & pw$new_episode == 0), ""\n"")
cat(""incident episodes                     :"", sum(pw$new_episode), ""\n"")
cat(""episodes with event indicator         :"", sum(pw$event), ""\n"")
cat(""agent clusters A/B/C/D                :"",
    sum(pw$event_A), ""/"", sum(pw$event_B), ""/"", sum(pw$event_C), ""/"", sum(pw$event_D), ""\n"")
cat(""weeks in the season                   :"", LASTWK, ""\n"")
cat(""forms filed in the final week         :"", sum(pw$week_idx == LASTWK), ""\n\n"")

cat(sprintf(""season incidence, at-risk denominator : %.5f episodes per 100 at-risk person-weeks\n"",
            100 * sum(pw$event) / sum(pw$at_risk_new_episode)))
cat(sprintf(""attack rate (>=1 episode)             : %.4f%%\n"",
            100 * mean(phys$any_symptom[phys$cohort_248_reporter == 1] > 0)))","1. Set DATA to the workbook filename. The workbook must sit in the same folder as this notebook; if a later dated release supersedes this one, DATA is the single line to change.
2. Read the physician sheet, the person-week sheet, the episode sheet and the weekly system sheet with readxl.
3. Sort the person-week panel by physician identifier and then by week index, so that the counting-process intervals are in time order within each physician.
4. Derive, within each physician's own record: whether the week is that physician's first observed week, and whether a reporting gap immediately precedes the week.
5. Print the panel structure checks that every later block depends on: number of filed person-weeks, number of physicians, at-risk person-weeks, symptomatic weeks, continuation weeks (symptomatic but not a new onset), incident episodes, and the episode count in each of the four agent clusters.
6. Compute the season incidence on the AT-RISK denominator as 1000 times new episodes divided by at-risk person-weeks. The stored weekly rate columns follow the filed denominator instead and are never read."
A01 — Cohort accrual and follow-up,"n_reg = len(phys)
n_rep = int(phys.reported.sum())
n_never = int((phys.reported == 0).sum())
n_pw = len(pw)
n_at_risk = int(pw.at_risk_new_episode.sum())
n_sym = int(pw.symptomatic.sum())
n_new = int(pw.new_episode.sum())
n_cont = n_sym - n_new

print(f""registered physicians                  {n_reg}"")
print(f""reporting (analysis) cohort            {n_rep} ({100*n_rep/n_reg:.1f}%)"")
print(f""never-reporters                        {n_never} ({100*n_never/n_reg:.1f}%)"")
print(f""person-weeks of follow-up              {n_pw:,}"")
print(f""person-weeks at risk of a new episode  {n_at_risk:,}"")
print(f""continuation (not at-risk) weeks       {n_cont}"")
print(f""symptomatic (ILI) person-weeks         {n_sym}"")
print(f""cleaned incident ILI episodes          {n_new}"")
assert n_at_risk + n_cont == n_pw
record(""A01"", registered=n_reg, reporters=n_rep, never=n_never, person_weeks=n_pw,
       at_risk=n_at_risk, continuation=n_cont, symptomatic=n_sym, episodes=n_new)","1. Count registered physicians in the registry sheet.
2. Split them on whether at least one weekly report was filed: reporters form the analysis cohort, the remainder are never-reporters.
3. From the person-week panel count filed person-weeks, person-weeks at risk of a new episode, symptomatic person-weeks and incident episodes.
4. Continuation weeks are symptomatic weeks that are not incident onsets; they are the weeks removed from the at-risk denominator.
5. Report each count with its percentage of the relevant total."
A02 — Weekly participation series and plateau,"series = wk.n_reporters.values
ramp, plateau = series[:8], series[8:]
peak_i = int(np.argmax(series))

sl = np.polyfit(wk.week_idx.values[peak_i:], series[peak_i:], 1)[0]
print(""weekly reporters:"", "", "".join(str(x) for x in series))
print(f""opening week                      {series[0]}"")
print(f""enrolment ramp, first eight weeks  {', '.join(str(x) for x in ramp)}"")
print(f""plateau (week 9 onward)            median {np.median(plateau):.0f}, ""
      f""range {plateau.min()}-{plateau.max()}, n = {len(plateau)}"")
print(f""median over all {len(series)} weeks          {np.median(series):.0f}"")
print(f""peak                               {series[peak_i]} in {WEEKS[peak_i]}"")
print(f""closing week                       {series[-1]} in {WEEKS[-1]}"")
print(f""post-peak trend                    {sl:+.3f} reporters per week over ""
      f""{WEEKS[peak_i]} to {WEEKS[-1]}"")
record(""A02"", opening=int(series[0]), plateau_median=float(np.median(plateau)),
       plateau_min=int(plateau.min()), plateau_max=int(plateau.max()),
       all_week_median=float(np.median(series)), peak=int(series[peak_i]),
       peak_week=str(WEEKS[peak_i]), closing=int(series[-1]), post_peak_slope=float(sl))","1. Take the weekly count of physicians filing any report, in ISO week order.
2. The enrolment ramp is the first eight weeks of that series.
3. The plateau is week nine onward; report its median and range, and separately the median over all thirty-three weeks so the two are not conflated.
4. Locate the peak week and the closing week.
5. Fit an ordinary least-squares line to the reporter count from the peak week to the end of the season and report its slope in reporters per week."
A03 — Reporting-frequency distribution and grid fill,"rep = phys[phys.reported == 1]
nwr = rep.n_weeks_reported
print(f""weeks reported per physician: median {nwr.median():.0f}, mean {nwr.mean():.3f}, ""
      f""range {nwr.min()}-{nwr.max()}"")
for lo, hi, lab in [(33, 33, ""all 33 weeks""), (25, 32, ""25-32 weeks"")]:
    m = nwr.between(lo, hi)
    print(f""  physicians reporting {lab:12s} {int(m.sum())} ({100*m.mean():.1f}%)"")
for lab, denom in [(""reporter grid"", len(rep) * N_WEEKS), (""registry grid"", len(phys) * N_WEEKS)]:
    print(f""realised grid fill, {lab:14s} {len(pw):,} of {denom:,} ({100*len(pw)/denom:.1f}%)"")
record(""A03"", median_weeks=float(nwr.median()), mean_weeks=float(nwr.mean()),
       all33=int((nwr == 33).sum()), fill_reporter=100*len(pw)/(len(rep)*N_WEEKS),
       fill_registry=100*len(pw)/(len(phys)*N_WEEKS))","1. For each reporting physician take the number of weeks reported.
2. Report its median, mean and range, and the count reporting all thirty-three weeks and twenty-five to thirty-two weeks.
3. Realised grid fill is filed person-weeks divided by a complete grid. Compute it twice: against the reporter grid (reporters x weeks) and against the registry grid (all registrants x weeks)."
A04 — Reporting persistence and engagement strata membership,"rep = phys[phys.reported == 1].copy()
CUTS = [0, 5, 23, 33]                       # fixed cut-points, not data-driven
rep[""stratum""] = pd.cut(rep.n_weeks_reported, bins=CUTS,
                        labels=[""least engaged"", ""moderately engaged"", ""most engaged""])
per_phys = pw.groupby(""participant_id"").agg(at_risk=(""at_risk_new_episode"", ""sum""),
                                            episodes=(""new_episode"", ""sum""))
S = rep.set_index(""participant_id"").join(per_phys)
tab = S.groupby(""stratum"", observed=True).agg(physicians=(""stratum"", ""size""),
                                              at_risk=(""at_risk"", ""sum""),
                                              episodes=(""episodes"", ""sum""))
print(tab.to_string())
print(f""\nphysicians reporting 24 or more weeks  {int((rep.n_weeks_reported>=24).sum())} ""
      f""({100*(rep.n_weeks_reported>=24).mean():.1f}%)"")
print(f""physicians reporting 25 or more weeks  {int((rep.n_weeks_reported>=25).sum())} ""
      f""({100*(rep.n_weeks_reported>=25).mean():.1f}%)"")
record(""A04"", n_most=int(tab.physicians[""most engaged""]),
       n_moderate=int(tab.physicians[""moderately engaged""]),
       n_least=int(tab.physicians[""least engaged""]),
       ge24=int((rep.n_weeks_reported >= 24).sum()), ge25=int((rep.n_weeks_reported >= 25).sum()))
STRATA = S[""stratum""]","1. Classify each reporting physician by the number of weeks reported into three engagement strata using fixed cut-points: least engaged up to five weeks, moderately engaged six to twenty-three weeks, most engaged twenty-four or more.
2. Report stratum sizes, and also the count reaching twenty-four and twenty-five weeks, since both appear as persistence descriptors.
3. Attach each stratum's at-risk person-weeks and episode count, which the stratum-specific incidence block then uses."
A05 — Geographic distribution of the reporting cohort,"prov = pw.groupby(""participant_id"").province_code.first()
n_prov = prov.nunique()
vc = prov.value_counts()
n_rep = len(prov)
print(f""provinces represented   {n_prov} of 81"")
print(f""three largest centres   "" + "", "".join(
    f""province {p} {c} ({100*c/n_rep:.1f}%)"" for p, c in vc.head(3).items()))
top3 = int(vc.head(3).sum())
print(f""share in the three largest centres  {top3} of {n_rep} ({100*top3/n_rep:.1f}%)"")
small = vc[vc < 5]
print(f""provinces contributing fewer than five physicians  {len(small)} ""
      f""(pooled: {int(small.sum())} physicians)"")
record(""A05"", provinces=n_prov, top3=top3, top3_pct=100*top3/n_rep)","1. Take each reporting physician's province from the person-week panel.
2. Count provinces represented out of the eighty-one in the country.
3. Rank provinces by physician count and report the three largest centres with their shares, and the combined share those three hold.
4. Provinces contributing fewer than five physicians are pooled for reporting."
A06 — Baseline numeric variables of the reporting cohort,"rep = phys[phys.reported == 1]
for v, lab in [(""age"", ""age, years""), (""hh"", ""household size"")]:
    s = rep[v].dropna()
    q1, q3 = s.quantile([.25, .75])
    W, p = stats.shapiro(s)
    print(f""{lab:16s} median {s.median():g} (IQR {q1:g}-{q3:g}; range {s.min():g}-{s.max():g}); ""
          f""mean {s.mean():.3f}; Shapiro-Wilk W = {W:.4f}, p = {p:.2e}"")
m = rep.school_kids_any
print(f""school-age child at home  {int(m.sum())} ({100*m.mean():.1f}%)"")
record(""A06"", median_age=float(rep.age.median()), mean_age=float(rep.age.mean()),
       median_hh=float(rep.hh.median()), mean_hh=float(rep.hh.mean()),
       school_kids=int(m.sum()))","1. For age and household size in the reporting cohort report median, interquartile range, range and mean.
2. Test each against normality with the Shapiro-Wilk test, which is what justifies the median-based presentation and the rank-based comparisons used later.
3. Report the count with a school-age child at home."
A07 — Demographic and professional characteristics,"rep = phys[phys.reported == 1]
for v, lab in [(""female"", ""female""), (""university"", ""university hospital""),
               (""academic"", ""academic title""), (""gp"", ""general practitioner""),
               (""resident"", ""resident""), (""sees_pat"", ""performs face-to-face examination"")]:
    s = rep[v].dropna()
    print(f""{lab:36s} {int(s.sum())} of {len(s)} ({100*s.mean():.1f}%)"")
print(""\ninstitution type"")
for k, c in rep.institution_type.value_counts().items():
    print(f""  {k[:58]:60s} {c} ({100*c/len(rep):.1f}%)"")
print(""job title"")
for k, c in rep.job_title.value_counts().items():
    print(f""  {k[:58]:60s} {c} ({100*c/len(rep):.1f}%)"")
record(""A07"", female=int(rep.female.sum()), university=int(rep.university.sum()),
       academic=int(rep.academic.sum()), sees_pat=int(rep.sees_pat.sum()))","1. Over the reporting cohort tabulate sex, institution type and job title as counts and percentages of the valid responses for each item.
2. Report the derived professional indicators separately: university-hospital affiliation, academic title, general practitioner, resident, and whether the physician performs face-to-face patient examination."
"A08 — Household, exposure and behavioural characteristics","rep = phys[phys.reported == 1]
items = [(""school_kids_any"", ""school-age child at home"", True),
         (""household_highrisk"", ""household member at complication risk"", True),
         (""smoker_current"", ""current tobacco use"", True),
         (""smoker_regular"", ""regular tobacco use"", True),
         (""pub_transport_user"", ""uses public transport"", True),
         (""allergy"", ""respiratory allergy"", True),
         (""active"", ""sufficient physical activity"", True),
         (""contact_children"", ""frequent contact with children"", True),
         (""contact_elderly"", ""frequent contact with older people"", True),
         (""hh"", ""household size (mean)"", False),
         (""pub_transport_ord"", ""public-transport time (ordinal mean)"", False),
         (""social_risk_score"", ""social-contact score (mean)"", False)]
rows = []
for v, lab, binary in items:
    s = rep[v].dropna()
    val = f""{int(s.sum())} ({100*s.mean():.1f}%)"" if binary else f""{s.mean():.3f}""
    rows.append(dict(item=lab, valid_n=len(s), value=val))
print(pd.DataFrame(rows).to_string(index=False))
print(""\ntobacco status (categorical)"")
for k, c in rep.tobacco_status.value_counts().items():
    print(f""  {k:12s} {c} ({100*c/len(rep):.1f}%)"")
record(""A08"", n_items=len(items))","1. Tabulate the household and behavioural items over the reporting cohort, each against its own valid-response denominator rather than a single cohort total, because the household-composition items were shown only to physicians reporting more than one household member.
2. Items: household size, a school-age child at home, a household member at risk of influenza complications, tobacco use, public-transport commuting time, respiratory allergy, physical activity, and frequent contact with children, adults and older people.
3. This block has no single scalar target; it produces a table of item-specific proportions."
