sheet,variable,label,type,storage_dtype,unit,valid_values_or_range,n_nonmissing,n_missing,raw_or_derived,derivation_rule,source_variables,questionnaire_content,instrument
01_Physicians,participant_id,Anonymous physician code (format HEKIM-xxxxxxxxx) linking one physician across every sheet; no name or contact detail is stored.,identifier,object,,304 distinct values,304,0,RAW,Administrative identifier assigned at registration.,,,
01_Physicians,age,Physician age in completed years.,count,int64,years,24.0 to 72.0,304,0,DERIVED,Season reference year minus the reported year of birth.,birth_year,the registration questionnaire asked for the physician's year of birth as a four-digit number,registration questionnaire (Supplement S1)
01_Physicians,age10,"Physician age expressed in units of ten years, so a one-unit change is ten years.",continuous,float64,10-year units,2.4 to 7.2,304,0,DERIVED,Age in years divided by ten.,age,the registration questionnaire asked for the physician's year of birth as a four-digit number,registration questionnaire (Supplement S1)
01_Physicians,female,"1 if the physician is female, 0 if male.",binary,int64,,0=109; 1=195,304,0,DERIVED,"1 if the recorded sex is the female option, 0 otherwise.",sex,"the registration questionnaire asked the physician's biological sex, with the options female and male",registration questionnaire (Supplement S1)
01_Physicians,sees_pat,"1 if the physician performs primary face-to-face patient examination, 0 if they work without direct patient contact.",binary,int64,,0=154; 1=150,304,0,DERIVED,1 if the recorded answer is the face-to-face examination option.,sees_patients,"the registration questionnaire asked whether the physician performs primary face-to-face patient examination, the alternative being a non-clinical or consultant role with no direct patient contact",registration questionnaire (Supplement S1)
01_Physicians,university,1 if the physician works in a public or foundation university hospital.,binary,int64,,0=187; 1=117,304,0,DERIVED,1 if the recorded institution is the university-hospital option.,institution_type,"the registration questionnaire asked which institution or unit the physician works in, offering a Ministry of Health central, provincial or district health directorate or emergency command-control unit; a Ministry of Health family health centre; a Ministry of Health hospital; a public or foundation university hospital; and a private hospital or clinic",registration questionnaire (Supplement S1)
01_Physicians,primarycare,"1 if the physician works in a primary-care or public-health setting, that is a family health centre or a central, provincial or district health directorate.",binary,int64,,0=206; 1=98,304,0,DERIVED,1 if the recorded institution is a family health centre or a health-directorate option.,institution_type,"the registration questionnaire asked which institution or unit the physician works in, offering a Ministry of Health central, provincial or district health directorate or emergency command-control unit; a Ministry of Health family health centre; a Ministry of Health hospital; a public or foundation university hospital; and a private hospital or clinic",registration questionnaire (Supplement S1)
01_Physicians,resident,1 if the physician is a resident in a main or subspecialty training programme.,binary,int64,,0=250; 1=54,304,0,DERIVED,1 if the recorded job title is the resident option.,job_title,"the registration questionnaire asked the physician's current job title, offering general practitioner, resident physician in a main or subspecialty programme, specialist or subspecialty specialist physician, and physician holding an academic title",registration questionnaire (Supplement S1)
01_Physicians,gp,1 if the physician is a general practitioner.,binary,int64,,0=266; 1=38,304,0,DERIVED,1 if the recorded job title is the general-practitioner option.,job_title,"the registration questionnaire asked the physician's current job title, offering general practitioner, resident physician in a main or subspecialty programme, specialist or subspecialty specialist physician, and physician holding an academic title",registration questionnaire (Supplement S1)
01_Physicians,academic,1 if the physician holds an academic title.,binary,int64,,0=211; 1=93,304,0,DERIVED,1 if the recorded job title is the academic-title option.,job_title,"the registration questionnaire asked the physician's current job title, offering general practitioner, resident physician in a main or subspecialty programme, specialist or subspecialty specialist physician, and physician holding an academic title",registration questionnaire (Supplement S1)
01_Physicians,comp_risk_n,Number of the physician's own conditions carrying a high risk of influenza complications.,ordinal,float64,conditions,0=229; 1=50; 2=13; 3=5,297,7,DERIVED,"Count of distinct condition groups marked, with the none option counting as zero.",komorbidite,"the registration questionnaire asked the physician to mark any conditions they have that carry a high risk of influenza or COVID-19 complications, with a mutually exclusive none option and a multi-select list covering respiratory, neurological, blood, endocrine, metabolic and other condition groups, and an option to decline to answer",registration questionnaire (Supplement S1)
01_Physicians,comp_risk_any,1 if the physician reports at least one condition carrying a high risk of influenza complications; physicians who declined to answer are placed in the 0 category.,binary,int64,,0=236; 1=68,304,0,DERIVED,"1 if the condition count is one or more, 0 otherwise, including the declined-to-answer response.",own_complication_risk_n,"the registration questionnaire asked the physician to mark any conditions they have that carry a high risk of influenza or COVID-19 complications, with a mutually exclusive none option and a multi-select list covering respiratory, neurological, blood, endocrine, metabolic and other condition groups, and an option to decline to answer",registration questionnaire (Supplement S1)
01_Physicians,school_kids,Number of children in the household attending an educational institution.,ordinal,float64,children,0=129; 1=81; 2=26; 3=3; 4=2,241,63,RAW,"Recorded answer or administrative field, carried unchanged.",,"the registration questionnaire asked how many children in the household attend an educational institution, from nursery and kindergarten through primary, middle and high school to university",registration questionnaire (Supplement S1)
01_Physicians,school_kids_any,"1 if at least one school-attending child lives in the household. Physicians who live alone are set to 0, since a one-person household cannot contain such a child.",binary,int64,,0=192; 1=112,304,0,DERIVED,"1 if the reported number of school-attending children is one or more; 0 if zero, and 0 for physicians reporting a household size of one with no count recorded.","household_school_children, household_size","the registration questionnaire asked how many children in the household attend an educational institution, from nursery and kindergarten through primary, middle and high school to university",registration questionnaire (Supplement S1)
01_Physicians,smoker_current,"1 if the physician currently uses tobacco, whether occasionally or daily.",binary,int64,,0=243; 1=61,304,0,DERIVED,"1 if tobacco status is occasional or daily, 0 if never or former.",tobacco_status,"the registration questionnaire asked which statement about tobacco-product use applies, distinguishing never use, former use with time since quitting, occasional use, and an open pack-year entry",registration questionnaire (Supplement S1)
01_Physicians,pub_transport_ord,"Daily public-transport time on a 0-3 ordinal scale: 0 does not generally use public transport, 1 up to thirty minutes, 2 thirty-one to ninety minutes, 3 more than ninety minutes.",ordinal,int64,,0=246; 1=18; 2=27; 3=13,304,0,DERIVED,"The ordered bands numbered 0 to 3, with the thirty-one to sixty and sixty-one to ninety minute bands combined into a single thirty-one to ninety minute band.",public_transport_time,"the registration questionnaire asked the average time spent in public transport per day, from generally not using public transport through bands up to more than ninety minutes",registration questionnaire (Supplement S1)
01_Physicians,allergy,1 if the physician reports an allergy causing respiratory symptoms.,binary,int64,,0=184; 1=120,304,0,DERIVED,"1 if the recorded answer is yes, 0 if no.",respiratory_allergy,the registration questionnaire asked whether the physician has an allergy causing respiratory symptoms,registration questionnaire (Supplement S1)
01_Physicians,ili_freq_ord,Self-reported influenza-like-illness frequency on a 0-4 ordinal scale following the five response bands.,ordinal,int64,,0=12; 1=190; 2=81; 3=17; 4=4,304,0,DERIVED,The five ordered response bands numbered 0 to 4 in the order in which they were offered.,ili_freq_per_year,"the registration questionnaire asked how often per year the physician has an influenza-like illness, in five ordered bands: never, once or twice, three or four times, five or six times, and more than six times a year",registration questionnaire (Supplement S1)
01_Physicians,had_ili_prev,1 if the physician had an influenza-like illness requiring attention in the preceding season.,binary,int64,,0=60; 1=244,304,0,DERIVED,"0 if the recorded answer is the no-such-illness option, 1 for every other option.",ili_healthcare_visit_2024_25,"the registration questionnaire asked whether the physician presented to a health-care facility for an influenza-like illness during the preceding season, distinguishing no such illness, self-managed treatment without presenting, at least one outpatient visit, at least one emergency-department visit without admission, and at least one inpatient episode",registration questionnaire (Supplement S1)
01_Physicians,sought_care,1 if the physician presented to a health-care facility for an influenza-like illness in the preceding season. Interpretable only among physicians who had such an illness.,binary,int64,,0=237; 1=67,304,0,DERIVED,"1 if the recorded answer is an outpatient visit, an emergency-department visit or an inpatient episode, 0 for self-managed treatment or no such illness.",ili_healthcare_visit_2024_25,"the registration questionnaire asked whether the physician presented to a health-care facility for an influenza-like illness during the preceding season, distinguishing no such illness, self-managed treatment without presenting, at least one outpatient visit, at least one emergency-department visit without admission, and at least one inpatient episode",registration questionnaire (Supplement S1)
01_Physicians,prev_vax,1 if the physician received an influenza vaccine in the preceding season.,binary,int64,,0=188; 1=116,304,0,DERIVED,"1 if either vaccinated option is recorded, 0 if the not-vaccinated option is recorded.",preceding-season vaccination answer,"the registration questionnaire asked whether the physician received an influenza vaccine in the preceding season, distinguishing no vaccination, vaccination with a vaccine supplied by the institution, and vaccination with a vaccine obtained from a pharmacy",registration questionnaire (Supplement S1)
01_Physicians,vax,1 if the physician received an influenza vaccine in the current season.,binary,int64,,0=203; 1=101,304,0,DERIVED,"1 if a vaccination week is recorded at registration or in any weekly report, 0 if the not-vaccinated option is recorded.",current-season vaccination answer,"the registration questionnaire asked physicians vaccinated in the current season to mark the ISO week of vaccination from a list of dated weeks, with a no-vaccination option",registration questionnaire (Supplement S1)
