item_id,form,section,question_stem_en,explanatory_text_en,answer_options_en,scale_type,n_options,notes
R1,registration,Introduction & eligibility,E-mail,,,free_text,0,Open-ended (short text).
R2,registration,Introduction & eligibility,Please indicate your current status.,Note: Select only one option.,"I am a medical doctor.|I am not a medical doctor. (In 2025-2026, only medical doctors are accepted. Please visit our website to follow current announcements.)",binary,2,Eligibility screen; not carried into the analysis dataset.
R3,registration,Section 1: Demographic information,Date of birth - as year (4-digit number - YYYY),,,count,0,Open-ended (year - YYYY). Source of birth_year -> age -> age10.
R4,registration,Section 1: Demographic information,Biological sex,Note: Select only one option.,Female|Male,binary,2,"Item wording is ""biological sex"" (biyolojik cinsiyet); no other category offered."
R5,registration,Section 1: Demographic information,Province of the institution where you work (license-plate no. - 2 digits),,,categorical,0,"Open-ended (plate no. 01-81). Province of WORK, not residence."
R6,registration,Section 1: Demographic information,District of the institution where you work,,,free_text,0,Open-ended (text). Not present in any supplied analysis file.
R7,registration,Section 1: Demographic information,Institution / unit where you work,Note: Select only one option.,Ministry of Health: Central - Provincial Health Directorate - District Health Directorate - 112 Command Control Unit|Ministry of Health: Family Health Center|Ministry of Health - Hospital|University (public or foundation) - Hospital|Private Hospital / Clinic,categorical,5,5 options; the first option bundles four distinct MoH administrative units into one code.
R8,registration,Section 1: Demographic information,Current job title,Note: Select only one option.,General practitioner|Resident physician (main or subspecialty)|Specialist / subspecialty specialist physician|Physician holding an academic title,categorical,4,
R9,registration,Section 1: Demographic information,Participation in patient examination,Note: Considering the last 3 months. Select only one option.,Physician performing primary (face-to-face) patient examination -> go to Q10|Physician not performing primary (face-to-face) examination - non-clinical field or consultant (no direct patient contact) -> go to Q16,binary,2,BRANCHING ITEM. Only the first branch is asked Q10-Q15; the second skips to Q16.
R10,registration,Section 2: Occupational information (patient-facing only),Working in a unit with high transmission risk,Note: Select only one option.,Emergency Department|Infectious Diseases and Clinical Microbiology|Chest Diseases (Pulmonology)|Anesthesiology and Reanimation / Intensive Care|Otorhinolaryngology (ENT)|Pediatrics|Family Medicine|None,categorical,8,Asked only of the face-to-face branch (n=112 of 248 reporters). Single-select although a physician could work across units.
R11,registration,Section 2: Occupational information (patient-facing only),Primary patient group (more than 80% of patients),Note: Select only one option.,Children|Adults|65 years and older|Immunosuppressed,categorical,4,"n=112 branch. The 80% rule is the item's own definition of ""primary""."
R12,registration,Section 2: Occupational information (patient-facing only),"Considering the average of the last 3 months, number of patients primarily examined per day","Note: In other words: with how many patients on average do you spend more than 2 minutes in the same room per day? Pediatrics: excluding patient companions. Do not count patients on whom procedures are performed under sterile operating-room conditions. If your contact time with inpatients during rounds is very short, do not include them.",,count,0,"n=112 branch. The explanatory text defines exposure as >2 minutes shared-room contact, i.e. a contact-time proxy, not a workload count."
R13,registration,Section 2: Occupational information (patient-facing only),"In what percentage of your examinations do aerosol-generating procedures (intubation, bronchoscopy, respiratory sampling, etc.) occur in your daily practice?",Note: Select only one option.,Never|Less than 10%|10-20%|More than 20%,ordinal,4,"n=112 branch. A SHARE of examinations, not an absolute number of procedures."
R14,registration,Section 2: Occupational information (patient-facing only),"Considering the average of the last 3 months, write the number of on-call shifts per month for which you are primarily responsible (following patients face-to-face)","Note: Do not include consultant / on-call (icap) shifts. If you do not take shifts, write 0.",,count,0,n=112 branch. Explicitly excludes consultant/icap shifts.
R15,registration,Section 2: Occupational information (patient-facing only),"Considering the last month, do you use a mask while examining patients primarily (face-to-face)?",Note: Select only one option.,Yes|No,binary,2,n=112 branch. One-month recall; no frequency or mask-type gradation.
R16,registration,Section 3: Risk-increasing factors,"Including yourself, how many people live in your household?","Note: HOUSEHOLD DEFINITION: A group of one or more persons living at the same address, whether or not related. Select only one option.",I live alone.|2|3|4|5|6 or more,ordinal,6,Top-coded at 6+.
R17,registration,Section 3: Risk-increasing factors,"How many children in the household attend school (nursery, kindergarten, primary, middle, high school, university)?","Note: If there are no children, or no school-attending children, in the household, write ""0"". Include your university-attending children in the total if they live with you.",,count,0,"The item's own definition of ""school"" spans nursery through UNIVERSITY, so the count is not confined to school-age children in the epidemiological sense."
R18,registration,Section 3: Risk-increasing factors,Mark the conditions you have that pose a high risk for complications of influenza or COVID-19.,Note: Multiple answers may be selected. Check all that apply.,"None (excludes the other options)|Respiratory system diseases: Asthma; chronic lung disease (COPD; cystic fibrosis; bronchiectasis, etc.)|Neurological diseases (epilepsy; cerebral palsy; spina bifida; history of stroke, etc.); disabilities with impaired muscle/lung function or swallowing difficulty|Blood diseases (sickle-cell anemia, etc.)|Endocrine disorders (diabetes, etc.)|Metabolic disorders (inherited metabolic diseases; mitochondrial diseases)|Mental disorders (depression; schizophrenia-spectrum disorder, etc.)|Heart disease (congenital heart disease; heart failure; coronary artery disease)|Kidney disease|Liver disease|Morbid obesity (BMI >=40 kg/m2)|Immune weakness due to disease (HIV/AIDS; cancers such as leukemia; autoimmune diseases; inherited immunodeficiencies)|Immune weakness due to medication (chemotherapy; radiotherapy; chronic steroids; immunosuppressive drugs - organ transplant; autoimmune diseases)|Pregnancy: first trimester (weeks 1-12)|Pregnancy: second trimester (weeks 13-28)|Pregnancy: third trimester (week 29 - birth)|I prefer not to answer|Other: ___",categorical,18,"MULTI-SELECT, 18 options incl. an explicit ""I prefer not to answer"" and a free-text ""Other"". Self-declared; no clinical verification. Pregnancy is offered as a comorbidity category."
R19,registration,Section 3: Risk-increasing factors,Do one or more household members carry a high risk for complications of influenza or COVID-19?,Note: HIGH-RISK CONDITIONS: children under 2; people 65 and older; pregnant women; asthma; chronic lung disease; neurological diseases; disabilities with impaired muscle/lung function or swallowing difficulty; blood diseases; endocrine disorders (diabetes); metabolic disorders; mental disorders; heart disease; kidney disease; liver disease; morbid obesity (BMI >=40); long-term aspirin/salicylate use under age 19; immune weakness due to disease or medication. Select only one option.,Yes|No|I live alone|I prefer not to answer,categorical,4,"The high-risk list here differs from Q18: it adds age <2, age >=65 and long-term aspirin use. ""I live alone"" is a distinct option, not a missing value."
R20,registration,Section 3: Risk-increasing factors,Public transport: average time spent in public transport per day,Note: Select only one option.,I generally don't use public transport|0-30 minutes|31-60 minutes|61-90 minutes|More than 90 minutes,ordinal,5,"5 options as fielded. The analysis file collapses 31-60 and 61-90 into a single ""31-90"" level."
