sheet,variable,measurement,type,value_set,n_observed,n_missing,derivation_rule,used_by_analyses,enters_an_analysis,why_not_used,documentation_status
01_Physicians,academic,"Whether this doctor holds an academic title, such as professor, based on 93 out of 304 doctors in the study.",binary,0 = 211; 1 = 93,304,0,"DERIVED from job_title, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description; never-reporter comparison (Table 3.23),yes,,Described in this appendix
01_Physicians,active,"Note: this is the physical-activity survey answer (1 = reports being physically active), NOT a measure of taking part in the study. 19 physicians who never filed a single weekly report have active=1.",binary,0 = 168; 1 = 136,304,0,Derived variable constructed for analysis,M5; cohort description (physical activity); descriptive covariate profile,yes,,Described in this appendix
01_Physicians,aerosol_ord,"What share of the physician's examinations involves procedures that aerosolise respiratory secretions, from the registration questionnaire (Supplement S1).",ordinal,0 = 68; 1 = 27; 2 = 7; 3 = 10,112,192,"Four ordered levels: 0 = never performs, 1 = under 10% of examinations, 2 = 10 to 20%, 3 = over 20%. Among the 112: 68 / 27 / 7 / 10.",M8,yes,,Described in this appendix
01_Physicians,age,"This shows the physician's age, calculated from their birth year, ranging from 24 to 72 years old.",count,"numeric, 24 to 72; median 35.5 (IQR 32-47)",304,0,"DERIVED from birth_year, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",cohort description (Table 3.4),yes,,Described in this appendix
01_Physicians,age10,"The physician's age at the start of the season, from the year of birth given on the registration questionnaire (Supplement S1), rescaled so one unit is ten years.",continuous,"numeric, 2.4 to 7.2; median 3.55 (IQR 3.2-4.7)",304,0,(2025 minus year of birth) / 10; range 2.4 to 7.2.,"M1, M4, M5, M6, M7, M8",yes,,Described in this appendix
01_Physicians,allergy,"Whether the physician reported a respiratory allergy, from the registration questionnaire (Supplement S1).",binary,0 = 184; 1 = 120,304,0,"1 = yes, 0 = no. 120 of 304; 96 of the 248 reporters. Blank responses are read as no.",M5,yes,,Described in this appendix
01_Physicians,any_symptom,"This shows whether a doctor experienced any flu-like symptoms during at least one week of the study, with 192 saying yes and 112 saying no.",binary,0 = 112; 1 = 192,304,0,"DERIVED from n_symptom_weeks, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",recurrence share indicator,yes,,Described in this appendix
01_Physicians,attack_rate,"This shows the share of reported weeks in which the physician noted flu-like symptoms in their patients, from 0 (none) to 1 (all).",continuous,"numeric, 0 to 1; median 0.0909091 (IQR 0.03125-0.1875)",248,56,"DERIVED from n_symptom_weeks, n_weeks_reported, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).","symptom-week share, descriptive",yes,,Described in this appendix
01_Physicians,cohort_112_primary,"Whether the physician filed at least one weekly report, and whether they additionally examine patients face to face.",binary,0 = 192; 1 = 112,304,0,cohort_248_reporter = 1 if reported = 1 (248 of 304); cohort_112_primary = 1 if reported = 1 and sees_pat = 1 (112 of 304).,defines the 112 occupational subgroup,yes,,Described in this appendix
01_Physicians,cohort_248_reporter,"Whether the physician filed at least one weekly report, and whether they additionally examine patients face to face.",binary,0 = 56; 1 = 248,304,0,cohort_248_reporter = 1 if reported = 1 (248 of 304); cohort_112_primary = 1 if reported = 1 and sees_pat = 1 (112 of 304).,defines the 248 person-level analysis set,yes,,Described in this appendix
01_Physicians,comp_risk_any,1 if the physician has at least one long-term health condition that could make flu worse.,binary,0 = 236; 1 = 68,304,0,"DERIVED from own_complication_risk_n, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",M5,yes,,Described in this appendix
01_Physicians,comp_risk_any_nan,"Whether the physician declared any medical condition raising the risk of influenza complications, on the registration questionnaire (Supplement S1).",binary,0 = 230; 1 = 68,298,6,"1 = at least one such condition, 0 = none, MISSING for the six respondents who chose not to answer the item. Those six are not imputed to 0; this is what fixes the individual-level analysis set at 242 and the reporting-propensity set at 298.","M1, M4",yes,,Documented in this appendix
01_Physicians,comp_risk_n,How many long-term health conditions the physician reported that could make flu worse.,ordinal,0 = 229; 1 = 50; 2 = 13; 3 = 5,297,7,Derived variable constructed for analysis,"health-condition count, cohort description (Table 3.7)",yes,,Described in this appendix
01_Physicians,contact_children,"This shows whether a physician reported having contact with 10 or more children on a typical day, based on their own report at the start of the study.",binary,0 = 283; 1 = 21,304,0,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of contact_children_10plus; the analysis uses contact_children_10plus,Described in this appendix
01_Physicians,contact_elderly,"This shows whether the person reported having 10 or more daily contacts with elderly people before the study began (1 = yes, 0 = no).",binary,0 = 278; 1 = 26,304,0,"DERIVED from social contact answer, under the pre-specified recode rules documented in Appendix A2 (Table S2 for this sheet).",,no,source or intermediate form of contact_elderly_10plus; the analysis uses contact_elderly_10plus,Described in this appendix
